Participant,Session,SnippetOrder,Condition,Snippet,Responded,Correct,ResponseTime
participant_06,1,1,LOBO,BinaryToDecimal_LOBO,0,,
participant_06,1,2,LDBO,IntertwineTwoWords_LDBO,1,1,194373
participant_06,1,3,LOBS,ContainsSubstring_LOBS,0,,
participant_06,1,4,LDBS,Power_LDBS,0,,
participant_06,1,5,BU,SumUpToN_BU,1,1,129617
participant_06,1,6,LOBO,SquareRoot_LOBO,1,1,127914
participant_06,1,7,LDBO,BinaryToDecimal_LDBO,1,0,289150
participant_06,1,8,LOBS,IntertwineTwoWords_LOBS,1,1,103350
participant_06,1,9,LDBS,ContainsSubstring_LDBS,0,,
participant_06,1,10,Syntax,Average_Syntax,1,0,104705
participant_06,1,11,LOBO,ReverseWord_LOBO,1,0,125062
participant_06,1,12,LDBO,SquareRoot_LDBO,1,1,151810
participant_06,1,13,LOBS,BinaryToDecimal_LOBS,1,0,203167
participant_06,1,14,LDBS,IntertwineTwoWords_LDBS,1,1,181608
participant_06,1,15,BU,Factorial_BU,1,1,159399
participant_06,1,16,LOBO,Power_LOBO,1,1,266026
participant_06,1,17,LDBO,ReverseWord_LDBO,1,1,170735
participant_06,1,18,LOBS,SquareRoot_LOBS,1,1,106873
participant_06,1,19,LDBS,BinaryToDecimal_LDBS,0,,
participant_06,1,20,Syntax,Swap_Syntax,1,1,122118
participant_06,1,21,LOBO,ContainsSubstring_LOBO,0,,
participant_06,1,22,LDBO,Power_LDBO,1,1,142003
participant_06,1,23,LOBS,ReverseWord_LOBS,1,1,216749
participant_06,1,24,LDBS,SquareRoot_LDBS,1,1,208558
participant_06,1,25,BU,CommonChars_BU,0,,
participant_06,1,26,LOBO,IntertwineTwoWords_LOBO,1,1,208857
participant_06,1,27,LDBO,ContainsSubstring_LDBO,0,,
participant_06,1,28,LOBS,Power_LOBS,1,1,182792
participant_06,1,29,LDBS,ReverseWord_LDBS,1,1,131060
participant_06,1,30,Syntax,ReverseIntArray_Syntax,1,1,256336
participant_33,1,1,LOBO,IntertwineTwoWords_LOBO,1,1,150507
participant_33,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,176567
participant_33,1,3,LOBS,Palindrome_LOBS,1,1,162352
participant_33,1,4,LDBS,ArrayAverage_LDBS,1,1,198802
participant_33,1,5,BU,Factorial_BU,1,1,191380
participant_33,1,6,LOBO,CrossSum_LOBO,1,1,102309
participant_33,1,7,LDBO,IntertwineTwoWords_LDBO,1,1,190925
participant_33,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,200182
participant_33,1,9,LDBS,Palindrome_LDBS,1,1,183350
participant_33,1,10,Syntax,Swap_Syntax,1,1,248466
participant_33,1,11,LOBO,ReverseWord_LOBO,1,1,165490
participant_33,1,12,LDBO,CrossSum_LDBO,1,1,135448
participant_33,1,13,LOBS,IntertwineTwoWords_LOBS,1,1,203554
participant_33,1,14,LDBS,FirstAboveTreshold_LDBS,1,1,165826
participant_33,1,15,BU,CommonChars_BU,0,,
participant_33,1,16,LOBO,ArrayAverage_LOBO,1,1,191234
participant_33,1,17,LDBO,ReverseWord_LDBO,1,1,160706
participant_33,1,18,LOBS,CrossSum_LOBS,1,1,134274
participant_33,1,19,LDBS,IntertwineTwoWords_LDBS,1,1,193300
participant_33,1,20,Syntax,ReverseWord_Syntax,1,1,273666
participant_33,1,21,LOBO,Palindrome_LOBO,1,1,203845
participant_33,1,22,LDBO,ArrayAverage_LDBO,1,1,288861
participant_33,1,23,LOBS,ReverseWord_LOBS,1,1,183302
participant_33,1,24,LDBS,CrossSum_LDBS,1,1,227928
participant_33,1,25,BU,CrossSum_BU,1,1,98489
participant_33,1,26,LOBO,FirstAboveTreshold_LOBO,1,1,154645
participant_33,1,27,LDBO,Palindrome_LDBO,1,1,245673
participant_33,1,28,LOBS,ArrayAverage_LOBS,1,1,283530
participant_33,1,29,LDBS,ReverseWord_LDBS,1,1,136965
participant_33,1,30,Syntax,Power_Syntax,0,,
participant_25,1,1,LOBO,ContainsSubstring_LOBO,1,1,207031
participant_25,1,2,LDBO,FirstAboveTreshold_LDBO,1,1,149519
participant_25,1,3,LOBS,Palindrome_LOBS,1,1,267766
participant_25,1,4,LDBS,Power_LDBS,1,1,91755
participant_25,1,5,BU,SumUpToN_BU,1,1,234401
participant_25,1,6,LOBO,SquareRoot_LOBO,1,1,130339
participant_25,1,7,LDBO,ContainsSubstring_LDBO,1,1,164797
participant_25,1,8,LOBS,FirstAboveTreshold_LOBS,1,1,82305
participant_25,1,9,LDBS,Palindrome_LDBS,1,1,272771
participant_25,1,10,Syntax,DoubleArray_Syntax,1,1,258679
participant_25,1,11,LOBO,ReverseWord_LOBO,1,1,131292
participant_25,1,12,LDBO,SquareRoot_LDBO,1,1,220237
participant_25,1,13,LOBS,ContainsSubstring_LOBS,1,1,275068
participant_25,1,14,LDBS,FirstAboveTreshold_LDBS,1,0,230777
participant_25,1,15,BU,Factorial_BU,1,1,170659
participant_25,1,16,LOBO,Power_LOBO,1,1,133336
participant_25,1,17,LDBO,ReverseWord_LDBO,1,1,108194
participant_25,1,18,LOBS,SquareRoot_LOBS,1,1,246670
participant_25,1,19,LDBS,ContainsSubstring_LDBS,1,1,192178
participant_25,1,20,Syntax,ReverseIntArray_Syntax,1,1,286645
participant_25,1,21,LOBO,Palindrome_LOBO,1,1,261463
participant_25,1,22,LDBO,Power_LDBO,1,1,266601
participant_25,1,23,LOBS,ReverseWord_LOBS,1,1,97650
participant_25,1,24,LDBS,SquareRoot_LDBS,1,1,301410
participant_25,1,25,BU,CrossSum_BU,0,,
participant_25,1,26,LOBO,FirstAboveTreshold_LOBO,1,0,139196
participant_25,1,27,LDBO,Palindrome_LDBO,1,1,136904
participant_25,1,28,LOBS,Power_LOBS,1,1,69922
participant_25,1,29,LDBS,ReverseWord_LDBS,1,1,196721
participant_25,1,30,Syntax,Power_Syntax,1,1,137990
participant_54,1,1,LOBO,BinaryToDecimal_LOBO,1,1,198583
participant_54,1,2,LDBO,IntertwineTwoWords_LDBO,1,1,190000
participant_54,1,3,LOBS,ContainsSubstring_LOBS,1,1,217088
participant_54,1,4,LDBS,Power_LDBS,1,1,184909
participant_54,1,5,BU,SumUpToN_BU,1,1,268176
participant_54,1,6,LOBO,SquareRoot_LOBO,1,1,179214
participant_54,1,7,LDBO,BinaryToDecimal_LDBO,1,1,307413
participant_54,1,8,LOBS,IntertwineTwoWords_LOBS,1,1,162339
participant_54,1,9,LDBS,ContainsSubstring_LDBS,1,1,208320
participant_54,1,10,Syntax,Average_Syntax,1,1,267857
participant_54,1,11,LOBO,ReverseWord_LOBO,1,1,146186
participant_54,1,12,LDBO,SquareRoot_LDBO,1,1,257156
participant_54,1,13,LOBS,BinaryToDecimal_LOBS,1,1,304344
participant_54,1,14,LDBS,IntertwineTwoWords_LDBS,1,1,135052
participant_54,1,15,BU,Factorial_BU,1,1,246072
participant_54,1,16,LOBO,Power_LOBO,1,1,211960
participant_54,1,17,LDBO,ReverseWord_LDBO,1,1,215788
participant_54,1,18,LOBS,SquareRoot_LOBS,1,1,180336
participant_54,1,19,LDBS,BinaryToDecimal_LDBS,1,1,237956
participant_54,1,20,Syntax,Swap_Syntax,1,1,143888
